Localização;CodProduto;Data;Quantidade;Vendendor;idCliente
Brazil;P001;01/01/2021;429;1;95
Argentina;P036;01/01/2021;179;4;100
Spain;P036;01/01/2021;201;3;73
Fiji;P038;01/01/2021;499;9;24
Yemen;P007;01/01/2021;451;4;33
Canada;P017;01/01/2021;215;3;86
Nepal;P021;01/01/2021;385;9;91
Germany;P052;01/01/2021;281;6;13
Venezuela;P037;01/01/2021;432;1;88
Iraq;P034;01/01/2021;335;5;76
Japan;P033;01/01/2021;221;5;55
Argentina;P052;01/01/2021;283;9;40
Pakistan;P015;01/01/2021;423;8;43
Nepal;P023;01/01/2021;220;6;16
Ukraine;P050;01/01/2021;301;2;24
France;P049;01/01/2021;387;2;1
South Africa;P010;01/01/2021;152;2;72
Peru;P031;01/01/2021;500;8;21
USA;P030;01/01/2021;442;1;87
Algeria;P013;01/01/2021;124;10;79
Germany;P012;01/01/2021;488;6;23
Nicaragua;P052;01/01/2021;187;7;61
Ecuador;P047;01/01/2021;313;4;98
Mexico;P046;01/01/2021;136;9;78
Yemen;P051;01/01/2021;206;2;9
Indonesia;P028;01/01/2021;434;5;55
Libya;P035;01/01/2021;97;8;36
Ukraine;P010;01/01/2021;225;7;98
France;P009;01/01/2021;477;5;82
Malaysia;P005;01/01/2021;269;3;9
Thailand;P044;01/01/2021;150;2;55
Brazil;P043;01/01/2021;279;1;25
Fiji;P026;01/01/2021;173;7;53
Russia;P025;01/01/2021;342;6;93
New Zealand;P023;01/01/2021;104;10;62
Ecuador;P007;01/01/2021;65;4;57
Mexico;P006;01/01/2021;162;1;81
Uruguay;P042;01/01/2021;95;4;38
United Kingdom;P041;01/01/2021;164;3;68
Turkey;P002;01/01/2021;391;8;66
Honduras;P023;01/01/2021;51;4;74
Italy;P022;01/01/2021;250;9;95
Bolivia;P003;01/01/2021;175;1;2
Thailand;P004;01/01/2021;516;9;92
Brazil;P003;01/01/2021;489;7;22
Chile;P039;01/01/2021;67;7;4
Spain;P038;01/01/2021;556;5;19
Poland;P017;01/01/2021;309;8;26
Paraguay;P020;01/01/2021;517;8;56
Canada;P019;01/01/2021;208;5;42
Uruguay;P002;01/01/2021;183;9;84
United Kingdom;P001;01/01/2021;382;5;40
Venezuela;P039;01/01/2021;303;10;37
Iraq;P036;01/01/2021;554;4;19
Japan;P035;01/01/2021;28;7;80
Mongolia;P016;01/01/2021;518;1;23
Pakistan;P017;01/01/2021;482;1;8
Nepal;P025;01/01/2021;343;5;71
Ukraine;P052;01/01/2021;179;2;98
Brazil;P004;04/01/2021;102;2;96
Argentina;P039;04/01/2021;507;3;65
Spain;P039;04/01/2021;99;4;83
Fiji;P041;04/01/2021;574;1;36
Yemen;P010;04/01/2021;289;2;28
Canada;P020;04/01/2021;501;7;31
Nepal;P024;04/01/2021;306;3;81
United Kingdom;P002;04/01/2021;417;2;9
Venezuela;P040;04/01/2021;328;10;43
Iraq;P037;04/01/2021;244;10;12
Japan;P036;04/01/2021;330;5;22
Mongolia;P017;04/01/2021;368;3;7
Pakistan;P018;04/01/2021;224;7;33
Nepal;P026;04/01/2021;315;3;36
Ukraine;P053;04/01/2021;211;1;80
France;P052;04/01/2021;519;2;89
South Africa;P013;04/01/2021;62;3;25
Peru;P034;04/01/2021;504;4;60
USA;P033;04/01/2021;581;3;42
